iter	Passed	Remaining
478	648	704
479	649	703
480	649	701
481	650	699
482	651	697
483	652	696
484	654	694
485	654	692
486	655	690
487	656	689
488	658	687
489	659	686
490	660	684
491	661	682
492	661	680
493	662	678
494	663	677
495	664	675
496	665	673
497	666	671
498	667	669
499	667	667
500	668	666
501	669	664
502	670	662
503	671	660
504	672	659
505	673	657
506	674	656
507	675	654
508	676	652
509	677	650
510	678	649
511	679	647
512	679	645
513	680	643
514	681	641
515	682	640
516	683	638
517	684	636
518	685	635
519	686	633
520	687	632
521	688	630
522	689	628
523	690	626
524	690	625
525	691	623
526	692	621
527	693	619
528	694	618
529	695	616
530	696	614
531	697	613
532	698	611
533	698	609
534	699	608
535	700	606
536	702	605
537	703	603
538	704	602
539	705	600
540	705	598
541	706	597
542	707	595
543	708	594
544	709	592
545	710	591
546	711	589
547	712	587
548	713	586
549	714	584
550	715	583
551	716	581
552	718	580
553	719	578
554	719	577
555	720	575
556	722	574
557	723	572
558	724	571
559	725	569
560	726	568
561	727	566
562	728	565
563	729	563
564	730	562
565	731	560
566	732	559
567	733	557
568	734	556
569	735	554
570	736	553
571	737	551
572	738	550
573	739	548
574	740	547
575	741	545
576	742	544
577	743	542
578	744	541
579	745	539
580	746	538
581	747	536
582	748	535
583	749	533
584	750	532
585	751	530
586	752	529
587	753	527
588	754	526
589	755	524
590	756	523
591	757	521
592	758	520
593	759	518
594	760	517
595	761	516
596	762	514
597	763	513
598	764	512
599	765	510
600	766	508
601	767	507
602	768	505
603	769	504
604	770	502
605	771	501
606	771	499
607	772	498
608	773	496
609	775	495
610	776	494
611	778	493
612	779	491
613	780	490
614	780	488
615	781	487
616	782	485
617	783	484
618	784	482
619	785	481
620	786	480
621	787	478
622	788	477
623	789	475
624	791	475
625	793	473
626	794	472
627	795	470
628	795	469
629	796	467
630	797	466
631	798	464
632	799	463
633	800	462
634	801	460
635	802	459
636	803	457
637	804	456
638	805	454
639	806	453
640	807	452
641	809	451
642	810	450
643	811	448
644	812	447
645	814	446
646	815	444
647	816	443
648	817	442
649	818	440
650	820	439
651	821	438
652	823	437
653	824	436
654	825	434
655	826	433
656	827	432
657	828	430
658	829	429
659	830	428
660	832	426
661	833	425
662	835	424
663	836	423
664	838	422
665	839	420
666	840	419
667	841	417
668	842	416
669	843	415
670	843	413
671	844	412
672	845	410
673	846	409
674	847	408
675	849	407
676	850	405
677	851	404
678	852	403
679	853	401
680	854	400
681	855	399
682	856	397
683	858	396
684	859	395
685	860	393
686	861	392
687	862	390
688	863	389
689	865	388
690	866	387
691	867	386
692	868	384
693	869	383
694	870	382
695	871	380
696	872	379
697	873	377
698	874	376
699	875	375
700	876	373
701	877	372
702	878	371
703	879	369
704	880	368
705	881	367
706	883	365
707	884	364
708	885	363
709	886	362
710	887	360
711	888	359
712	889	358
713	890	356
714	891	355
715	893	354
716	894	353
717	895	351
718	896	350
719	897	348
720	898	347
721	899	346
722	900	344
723	900	343
724	901	342
725	902	340
726	903	339
727	904	338
728	905	336
729	906	335
730	907	333
731	909	332
732	910	331
733	910	330
734	911	328
735	912	327
736	913	326
737	914	324
738	915	323
739	916	321
740	917	320
741	918	319
742	919	317
743	920	316
744	921	315
745	922	314
746	923	312
747	924	311
748	925	310
749	926	308
750	927	307
751	928	306
752	929	304
753	930	303
754	931	302
755	932	301
756	933	299
757	934	298
758	935	297
759	936	295
760	938	294
761	939	293
762	940	292
763	941	290
764	942	289
765	943	288
766	944	286
767	945	285
768	946	284
769	947	282
770	948	281
771	949	280
772	950	279
773	950	277
774	951	276
775	953	275
776	953	273
777	954	272
778	955	271
779	956	269
780	957	268
781	958	267
782	959	265
783	960	264
784	961	263
785	962	261
786	962	260
787	963	259
788	964	257
789	965	256
790	966	255
791	967	254
792	968	252
793	969	251
794	970	250
795	971	248
796	972	247
797	972	246
798	974	245
799	975	243
800	976	242
801	977	241
802	978	240
803	979	238
804	980	237
805	980	236
806	981	234
807	982	233
808	983	232
809	984	230
810	985	229
811	986	228
812	987	227
813	988	225
814	989	224
815	990	223
816	991	222
817	992	220
818	993	219
819	994	218
820	996	217
821	997	216
822	998	214
823	999	213
824	1000	212
825	1001	211
826	1002	209
827	1003	208
828	1004	207
829	1005	206
830	1006	204
831	1007	203
832	1008	202
833	1009	200
834	1010	199
835	1011	198
836	1013	197
837	1014	196
838	1015	194
839	1016	193
840	1017	192
841	1017	191
842	1019	189
843	1020	188
844	1020	187
845	1021	186
846	1022	184
847	1023	183
848	1024	182
849	1025	181
850	1027	179
851	1028	178
852	1029	177
853	1030	176
854	1031	174
855	1032	173
856	1033	172
857	1034	171
858	1035	169
859	1036	168
860	1037	167
861	1038	166
862	1039	165
863	1040	163
864	1042	162
865	1043	161
866	1043	160
867	1044	158
868	1045	157
869	1046	156
870	1047	155
871	1048	153
872	1049	152
873	1050	151
874	1051	150
875	1052	148
876	1053	147
877	1054	146
878	1056	145
879	1057	144
880	1058	143
881	1059	141
882	1060	140
883	1061	139
884	1062	138
885	1063	136
886	1064	135
887	1066	134
888	1067	133
889	1068	132
890	1069	130
891	1071	129
892	1072	128
893	1073	127
894	1074	126
895	1075	124
896	1076	123
897	1077	122
898	1078	121
899	1078	119
900	1079	118
901	1080	117
902	1081	116
903	1082	114
904	1083	113
905	1085	112
906	1087	111
907	1088	110
908	1089	109
909	1090	107
910	1090	106
911	1091	105
912	1092	104
913	1093	102
914	1094	101
915	1095	100
916	1096	99
917	1097	98
918	1098	96
919	1100	95
920	1101	94
921	1102	93
922	1103	92
923	1104	90
924	1105	89
925	1106	88
926	1107	87
927	1108	86
928	1109	84
929	1110	83
930	1111	82
931	1112	81
932	1113	79
933	1114	78
934	1115	77
935	1116	76
936	1117	75
937	1118	73
938	1119	72
939	1120	71
940	1121	70
941	1122	69
942	1123	67
943	1124	66
944	1125	65
945	1126	64
946	1127	63
947	1128	61
948	1129	60
949	1130	59
950	1131	58
951	1132	57
